"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-LU","Actual Total Load [MW] - BZN|DE-LU"
"01.01.2022 00:00 - 01.01.2022 00:15","42904","45093"
"01.01.2022 00:15 - 01.01.2022 00:30","42533","44673"
"01.01.2022 00:30 - 01.01.2022 00:45","42126","44158"
"01.01.2022 00:45 - 01.01.2022 01:00","41678","43481"
"01.01.2022 01:00 - 01.01.2022 01:15","41113","42622"
"01.01.2022 01:15 - 01.01.2022 01:30","40520","42230"
"01.01.2022 01:30 - 01.01.2022 01:45","40138","41562"
"01.01.2022 01:45 - 01.01.2022 02:00","39905","41418"
"01.01.2022 02:00 - 01.01.2022 02:15","39544","41591"
"01.01.2022 02:15 - 01.01.2022 02:30","39343","41044"
"01.01.2022 02:30 - 01.01.2022 02:45","38806","40568"
"01.01.2022 02:45 - 01.01.2022 03:00","38690","40349"
"01.01.2022 03:00 - 01.01.2022 03:15","38320","40072"
"01.01.2022 03:15 - 01.01.2022 03:30","38110","39962"
"01.01.2022 03:30 - 01.01.2022 03:45","38034","39946"
"01.01.2022 03:45 - 01.01.2022 04:00","37802","39876"
"01.01.2022 04:00 - 01.01.2022 04:15","38195","39845"
"01.01.2022 04:15 - 01.01.2022 04:30","38202","39674"
"01.01.2022 04:30 - 01.01.2022 04:45","38238","39881"
"01.01.2022 04:45 - 01.01.2022 05:00","38118","39535"
"01.01.2022 05:00 - 01.01.2022 05:15","37764","39510"
"01.01.2022 05:15 - 01.01.2022 05:30","37506","39322"
"01.01.2022 05:30 - 01.01.2022 05:45","37269","39196"
"01.01.2022 05:45 - 01.01.2022 06:00","36829","38865"
"01.01.2022 06:00 - 01.01.2022 06:15","35745","38755"
"01.01.2022 06:15 - 01.01.2022 06:30","36038","38786"
"01.01.2022 06:30 - 01.01.2022 06:45","35829","38796"
"01.01.2022 06:45 - 01.01.2022 07:00","36052","38911"
"01.01.2022 07:00 - 01.01.2022 07:15","36279","39388"
"01.01.2022 07:15 - 01.01.2022 07:30","37018","39336"
"01.01.2022 07:30 - 01.01.2022 07:45","37514","39535"
"01.01.2022 07:45 - 01.01.2022 08:00","38098","39725"
"01.01.2022 08:00 - 01.01.2022 08:15","38999","40408"
"01.01.2022 08:15 - 01.01.2022 08:30","39384","40691"
"01.01.2022 08:30 - 01.01.2022 08:45","39997","40745"
"01.01.2022 08:45 - 01.01.2022 09:00","40814","41024"
"01.01.2022 09:00 - 01.01.2022 09:15","41542","42184"
"01.01.2022 09:15 - 01.01.2022 09:30","42285","42742"
"01.01.2022 09:30 - 01.01.2022 09:45","43097","43258"
"01.01.2022 09:45 - 01.01.2022 10:00","43802","43543"
"01.01.2022 10:00 - 01.01.2022 10:15","44357","44020"
"01.01.2022 10:15 - 01.01.2022 10:30","44822","44579"
"01.01.2022 10:30 - 01.01.2022 10:45","45237","45062"
